model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds,protocol
ExpB,0,0,0.07525979727506638,0.006296756211668253,0.07161158323287964,0.0023241073358803988,3,LOSO_full
ExpB,0,1,0.06964093446731567,0.0031082453206181526,0.06407313048839569,0.0005116289248690009,3,LOSO_full
ExpB,0,2,0.06931152194738388,0.001463928958401084,0.06197461485862732,0.0008876672945916653,3,LOSO_full
ExpB,0,3,0.06469907611608505,0.004903055261820555,0.05349456146359444,0.0029653909150511026,3,LOSO_full
ExpB,0,4,0.05148724839091301,0.00821162760257721,0.0431496798992157,0.0024847814347594976,3,LOSO_full
ExpB,0,5,0.0471433661878109,0.006192730274051428,0.04270327091217041,0.002293470548465848,3,LOSO_full
ExpB,0,6,0.037872064858675,0.0026402429211884737,0.04340359568595886,0.002631144132465124,3,LOSO_full
ExpB,0,7,0.03533923253417015,0.0010842939373105764,0.037458401173353195,7.273912342498079e-05,3,LOSO_full
ExpB,0,8,0.03630419448018074,0.0021994132548570633,0.035244498401880264,0.0009577583987265825,3,LOSO_full
ExpB,0,9,0.03340761363506317,0.0013692454667761922,0.03431336581707001,0.0008001094684004784,3,LOSO_full
ExpB,0,10,0.030727960169315338,0.0006550310063175857,0.03357318416237831,0.00040640702354721725,3,LOSO_full
ExpB,0,11,0.030604206025600433,0.0006121670012362301,0.03383847326040268,0.0008429571171291173,3,LOSO_full
ExpB,0,12,0.03306317701935768,0.00031000078888610005,0.03481936827301979,0.0018246844410896301,3,LOSO_full
ExpB,0,13,0.032095395028591156,0.0007695944514125586,0.033427100628614426,0.001063173171132803,3,LOSO_full
ExpB,0,14,0.029181666672229767,0.0011630995431914926,0.033219147473573685,0.0015047412598505616,3,LOSO_full
ExpB,0,15,0.030566176399588585,0.00041357550071552396,0.03351699188351631,0.0006927938666194677,3,LOSO_full
ExpB,0,16,0.03079250454902649,0.0012609062250703573,0.034046515822410583,0.0007757178391329944,3,LOSO_full
ExpB,0,17,0.030853912234306335,0.000723565521184355,0.03318595886230469,0.00034894392592832446,3,LOSO_full
ExpB,0,18,0.032043442130088806,0.0014955399092286825,0.034364003688097,0.0002814049075823277,3,LOSO_full
ExpB,0,19,0.03421608731150627,0.0005772197037003934,0.03570675477385521,0.0006494249100796878,3,LOSO_full
ExpB,0,20,0.03694198653101921,0.0016237047966569662,0.038371410220861435,0.0012758694356307387,3,LOSO_full
ExpB,0,21,0.0358775369822979,0.0010062670335173607,0.03754758462309837,0.0006613036384806037,3,LOSO_full
ExpB,0,22,0.04022922366857529,0.002614164026454091,0.04326409101486206,0.0037449391093105078,3,LOSO_full
ExpB,0,23,0.05234166979789734,0.008959678933024406,0.05369271710515022,0.007654622197151184,3,LOSO_full
ExpB,1,0,0.08593692630529404,0.006353846285492182,0.07305853813886642,0.006253239698708057,3,LOSO_full
ExpB,1,1,0.07205934077501297,0.002015199512243271,0.05949324369430542,0.004334807861596346,3,LOSO_full
ExpB,1,2,0.06912505626678467,0.0007821405888535082,0.05866662785410881,0.0037634484469890594,3,LOSO_full
ExpB,1,3,0.05795540288090706,0.0038314920384436846,0.04986485466361046,0.0018356856890022755,3,LOSO_full
ExpB,1,4,0.038603272289037704,0.003841797821223736,0.037626713514328,0.0025825100019574165,3,LOSO_full
ExpB,1,5,0.042537588626146317,0.00784527137875557,0.041427504271268845,0.004594444762915373,3,LOSO_full
ExpB,1,6,0.03410956263542175,0.0030507834162563086,0.044333893805742264,0.007819280959665775,3,LOSO_full
ExpB,1,7,0.030557597056031227,0.002044857479631901,0.035392019897699356,0.005512109957635403,3,LOSO_full
ExpB,1,8,0.04321843013167381,0.004416699521243572,0.042310699820518494,0.004203615710139275,3,LOSO_full
ExpB,1,9,0.027054080739617348,0.001019415445625782,0.03328989818692207,0.004120234400033951,3,LOSO_full
ExpB,1,10,0.02066052332520485,0.0011803872184827924,0.02708299644291401,0.00037654725019820035,3,LOSO_full
ExpB,1,11,0.01873195171356201,0.002509108744561672,0.02489096112549305,0.0011767990654334426,3,LOSO_full
ExpB,1,12,0.024793779477477074,0.0036854723002761602,0.031158054247498512,0.006250426638871431,3,LOSO_full
ExpB,1,13,0.020771192386746407,0.0009326207218691707,0.028333598747849464,0.004265406634658575,3,LOSO_full
ExpB,1,14,0.018582718446850777,0.002061379374936223,0.023942546918988228,0.0011659510200843215,3,LOSO_full
ExpB,1,15,0.018448272719979286,0.002345623914152384,0.023919545114040375,0.0008907489245757461,3,LOSO_full
ExpB,1,16,0.01966824382543564,0.002527820412069559,0.025525428354740143,0.0019483489450067282,3,LOSO_full
ExpB,1,17,0.019836310297250748,0.002392211463302374,0.02475781738758087,0.0010735944379121065,3,LOSO_full
ExpB,1,18,0.0237420666962862,0.0036440847907215357,0.02877383679151535,0.002570029580965638,3,LOSO_full
ExpB,1,19,0.025123247876763344,0.003087382996454835,0.030032778158783913,0.0009077442227862775,3,LOSO_full
ExpB,1,20,0.04690749570727348,0.007354518864303827,0.04477229714393616,0.0047047813422977924,3,LOSO_full
ExpB,1,21,0.03267504647374153,0.005550870671868324,0.043494921177625656,0.006460932083427906,3,LOSO_full
ExpB,1,22,0.05017856881022453,0.005765420384705067,0.06470664590597153,0.01062223594635725,3,LOSO_full
